start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,runtime
May 08 2011,8,7,1,1,1,93,1,915.456987946586,01h 56m 25s
May 02 2011,8,7,3,1,1,93,1,926.6016920706741,01h 03m 55s
Jun 16 2011,8,7,1,1,1,10,1,941.4125836051522,01h 38m 52s
Jan 28 2011,9,24,1,1,1,5,1,567.3832821001279,01h 18m 12s
Apr 18 2011,9,3,99,1,12,10,1,1092.5641352246498,02h 15m 04s
Jun 01 2011,2,4,3,1,1,5,1,1247.4582949950004,01h 31m 28s
Aug 30 2011,17,3,3,1,1,11,1,786.0914379489151,01h 34m 31s
Sep 20 2011,17,4,3,1,1,5,1,762.7649462549977,00h 58m 42s
Mar 29 2011,2,3,3,1,1,11,1,804.3084592952555,01h 25m 34s
Oct 29 2011,2,4,3,1,5,5,1,751.61424472908,01h 58m 18s
Apr 14 2011,51,4,3,1,5,5,1,1052.0840036955578,01h 40m 59s
Nov 01 2011,17,3,3,1,1,11,1,889.4649800245866,01h 40m 15s
Apr 30 2011,2,7,99,1,1,10,1,1068.011589358403,01h 47m 57s
Apr 12 2011,17,24,99,1,1,11,1,1296.2037281049006,01h 17m 37s
Oct 04 2011,9,3,1,1,12,5,1,609.8449450248406,03h 44m 11s
Jan 18 2011,51,3,1,1,8,6,1,752.6682902578511,01h 26m 18s
Jul 02 2011,51,4,3,1,5,5,1,897.5940724387465,01h 31m 42s
Jan 18 2011,8,7,3,1,1,10,1,902.8537563098239,02h 01m 14s
Apr 23 2011,51,4,3,1,5,5,1,1736.3373134440178,01h 22m 22s
Jun 25 2011,2,7,3,1,1,5,1,968.2282116179972,01h 55m 44s
May 08 2011,51,4,3,1,5,10,1,988.3930948000541,01h 32m 13s
Sep 08 2011,51,3,3,1,5,5,1,987.608350344294,01h 36m 43s
Feb 19 2011,17,4,3,1,1,11,1,6.0219999999999996e+23,06h 00m 03s
Sep 12 2011,51,3,1,1,1,6,1,774.9521098494395,03h 59m 22s
Jun 11 2011,19,3,3,1,8,10,1,967.071582922456,01h 06m 46s
May 14 2011,19,7,3,1,1,10,1,1162.1563454533916,01h 52m 03s
Aug 23 2011,2,7,3,1,1,10,1,887.8256798477432,01h 42m 30s
Mar 10 2011,2,4,3,1,1,5,1,1350.1921898523299,00h 49m 28s
Sep 02 2011,8,7,3,1,7,10,1,871.0556338618321,01h 14m 24s
Jul 22 2011,9,3,99,1,1,11,1,951.5757973610278,01h 36m 37s
Feb 06 2011,2,4,3,1,1,5,1,818.8306387996519,01h 38m 10s
Aug 09 2011,19,7,3,1,1,10,1,978.5740711881907,01h 41m 23s
Oct 01 2011,19,3,3,1,1,10,1,815.0157115973786,00h 33m 33s
Mar 17 2011,2,4,3,1,1,5,1,1048.6232237615754,02h 08m 38s
Jan 27 2011,17,3,3,1,1,11,1,701.2848974237634,00h 55m 42s
Jan 02 2011,17,3,3,1,1,11,1,745.3883271183757,01h 49m 50s
Jan 27 2011,19,7,99,1,1,10,1,762.9863640677858,01h 06m 31s
Jul 06 2011,19,7,3,1,5,10,1,998.1141487428641,01h 14m 05s
Aug 11 2011,51,4,3,1,1,5,1,789.8370836633964,01h 25m 55s
Apr 23 2011,51,4,3,1,5,5,1,1736.3373134440178,01h 56m 22s
Apr 10 2011,2,4,3,1,7,5,1,1251.6937864332826,01h 38m 05s
Feb 02 2011,17,3,3,1,1,11,1,1423.1678371207875,02h 04m 43s
Mar 31 2011,51,4,3,1,5,5,1,874.6160915346244,01h 04m 59s
Mar 26 2011,19,4,3,1,1,10,1,872.8665862202754,01h 12m 08s
May 25 2011,2,3,3,1,1,5,1,1085.0906544765373,00h 41m 51s
Aug 26 2011,51,4,3,1,5,5,1,1314.5999331984092,01h 43m 30s
Jul 30 2011,17,3,3,1,1,11,1,777.0819119705355,01h 43m 09s
Oct 23 2011,2,7,1,1,7,93,1,555.5871919733008,01h 47m 00s
Jun 07 2011,8,4,3,1,7,5,1,864.1268504705863,01h 47m 46s
Nov 22 2011,2,4,3,1,1,5,1,509.5212239703966,01h 01m 55s
Nov 26 2011,17,3,99,1,1,11,1,745.6506610574609,01h 49m 15s
Apr 20 2011,17,4,3,1,1,11,1,1267.4701070191331,03h 16m 37s
Apr 24 2011,2,3,3,1,1,5,1,1115.5234629742242,01h 31m 45s
Aug 31 2011,2,7,3,1,5,5,1,807.446597299305,01h 24m 25s
Jun 19 2011,2,4,3,1,1,10,1,1098.0050719504452,04h 19m 48s
Jan 16 2011,51,4,3,1,5,5,1,557.4908252415368,00h 54m 36s
Oct 02 2011,9,7,99,1,1,11,1,787.6130368103043,02h 50m 20s
Jul 30 2011,51,4,3,1,5,93,1,801.5285692936258,00h 48m 24s
Dec 13 2011,8,7,1,1,1,5,1,427.63805739276586,01h 47m 26s
May 31 2011,2,3,3,1,7,5,1,1141.800664442636,01h 36m 17s
Sep 13 2011,17,4,3,1,1,11,1,6.0219999999999996e+23,06h 00m 08s
Oct 11 2011,9,7,99,1,1,11,1,765.6589572736377,03h 49m 24s
Dec 02 2011,2,4,3,1,7,5,1,477.1183044268787,00h 59m 50s
Mar 14 2011,9,7,99,1,1,11,1,724.2770685780613,02h 52m 58s
Feb 18 2011,17,3,99,1,1,11,1,6.0219999999999996e+23,06h 00m 05s
Mar 02 2011,9,3,1,1,12,5,1,1064.5108271849576,01h 52m 15s
Nov 14 2011,5,24,3,1,1,11,1,1072.3741373535345,00h 32m 55s
Sep 22 2011,9,3,99,1,1,11,1,761.8058207346895,01h 09m 33s
Feb 08 2011,19,3,3,1,1,11,1,1039.3767251274453,01h 24m 29s
Feb 19 2011,17,7,3,1,1,10,1,1634.4036233409624,02h 10m 04s
Aug 12 2011,8,3,3,1,1,11,1,809.5016372072844,00h 54m 48s
Jan 19 2011,17,7,3,1,1,10,1,603.6468444515817,02h 16m 14s
May 22 2011,51,3,1,1,8,6,1,1006.9892492037354,01h 19m 15s
Jan 13 2011,8,7,1,1,1,93,1,774.1935021585884,01h 42m 27s
Oct 02 2011,17,3,3,1,1,11,1,695.6809936181642,02h 16m 28s
Mar 20 2011,17,3,99,1,1,11,1,981.7335518508304,01h 43m 16s
Jun 27 2011,9,3,99,1,1,10,1,1178.2775681161033,00h 54m 22s
Apr 03 2011,8,7,1,1,1,93,1,1184.310150570398,01h 13m 40s
Jul 02 2011,2,4,3,1,7,5,1,839.2117495325203,04h 34m 24s
