start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,runtime
Aug 07 2011,22,4,1,7,7,93,1,881.5346365097421,01h 51m 21s
Jul 26 2011,5,3,2,7,11,94,1,1028.809964698094,00h 59m 38s
Jul 30 2011,17,7,4,2,1,1,1,838.1618117398627,01h 59m 33s
Jun 08 2011,10,24,4,5,7,16,1,1090.8049219001339,04h 42m 17s
May 15 2011,10,24,4,7,1,16,1,6.0219999999999996e+23,06h 00m 05s
Nov 16 2011,5,31,4,5,8,5,1,850.4293178894388,04h 14m 51s
Nov 15 2011,17,7,2,2,7,1,1,944.8053869189672,02h 12m 13s
Aug 14 2011,5,3,4,7,11,93,1,838.5334705871105,01h 08m 08s
Dec 15 2011,5,99,1,1,1,93,1,1064.9175404416958,00h 54m 30s
Mar 30 2011,14,31,4,7,8,5,1,843.5520807992131,01h 28m 17s
Jan 31 2011,21,3,2,7,11,93,1,543.4846163615117,01h 08m 43s
Jun 26 2011,5,4,24,5,7,94,1,941.4397828890696,04h 13m 51s
Sep 23 2011,17,31,4,5,5,10,1,879.9153463569609,04h 54m 44s
Dec 27 2011,17,7,1,2,7,1,1,1033.9228063628668,02h 16m 35s
Apr 20 2011,14,99,1,1,1,93,1,1314.0880239198732,01h 15m 53s
Aug 11 2011,17,31,1,5,5,10,1,1039.4178272638203,04h 30m 41s
May 18 2011,5,31,4,7,8,5,1,1250.8155022517205,01h 08m 32s
Dec 20 2011,5,3,2,7,11,93,1,586.501093396528,01h 01m 33s
Jun 21 2011,18,99,4,2,5,16,1,1344.5987637422832,01h 46m 26s
Apr 26 2011,50,4,1,3,1,11,10,6.0219999999999996e+23,00:00:00
Dec 09 2011,6,5,99,7,9,1,1,608.2586511294867,02h 17m 22s
Oct 30 2011,21,24,2,4,4,16,4,1003.049909424292,01h 08m 11s
Dec 11 2011,18,3,5,3,10,16,10,6.0219999999999996e+23,00:00:00
Feb 19 2011,3,31,24,3,9,7,1,6.0219999999999996e+23,00:00:00
Dec 26 2011,1,31,3,2,11,16,1,1634.2643195315077,00h 36m 19s
Oct 05 2011,10,31,99,5,9,10,1,760.1608633026904,04h 36m 07s
Feb 13 2011,1,5,99,4,10,5,10,6.0219999999999996e+23,00h 00m 20s
Jan 06 2011,6,5,99,3,12,6,1,6.0219999999999996e+23,00:00:00
Dec 15 2011,7,3,5,7,7,1,1,6.0219999999999996e+23,00h 00m 00s
Mar 27 2011,4,99,3,4,4,2,4,929.3815410561651,02h 10m 07s
Jul 12 2011,18,4,4,7,2,93,2,973.8257060989718,03h 06m 17s
Apr 12 2011,13,3,1,1,7,2,1,6.024035819294183e+23,01h 12m 57s
Feb 18 2011,16,24,2,5,1,11,10,6.0219999999999996e+23,00:00:00
May 13 2011,13,24,5,5,5,4,1,6.0219999999999996e+23,06h 00m 04s
Feb 14 2011,22,5,2,5,5,99,1,2738.743952852891,04h 54m 54s
Apr 21 2011,51,3,4,7,10,16,10,1095.9156989208145,01h 08m 13s
May 22 2011,21,4,3,2,6,5,5,1175.4142710135932,01h 23m 37s
Apr 26 2011,17,7,2,4,12,3,1,1561.4974768270797,01h 32m 07s
May 30 2011,13,31,99,2,5,3,1,1111.8133233885944,00h 46m 15s
Jul 13 2011,21,7,7,2,12,14,1,1021.2580601862355,01h 13m 55s
Oct 10 2011,3,3,7,5,12,14,1,1777.5760248798852,04h 02m 39s
Nov 28 2011,30,1,2,1,9,7,1,6.0219999999999996e+23,06h 00m 04s
Jul 26 2011,32,31,5,3,7,2,1,6.0219999999999996e+23,00:00:00
Sep 19 2011,21,4,5,3,2,7,4,6.0219999999999996e+23,00:00:00
Mar 03 2011,19,7,4,7,9,2,1,6.0219999999999996e+23,06h 00m 02s
Apr 11 2011,7,24,7,4,9,16,1,2373.0477812712884,01h 25m 19s
Oct 06 2011,30,1,1,1,2,7,10,6.0219999999999996e+23,00:00:00
Sep 13 2011,13,7,2,5,9,7,1,1016.4142561829483,05h 38m 48s
Nov 19 2011,18,3,2,5,1,6,1,1292.1992051206093,04h 46m 31s
Feb 26 2011,4,5,4,5,12,5,1,775.2087660558428,03h 56m 45s
Feb 04 2011,14,99,5,7,9,1,1,6.0219999999999996e+23,06h 00m 05s
May 22 2011,14,24,5,3,5,4,1,6.0219999999999996e+23,00:00:00
Oct 26 2011,16,31,4,7,4,5,4,6.0219999999999996e+23,06h 00m 02s
Jan 24 2011,1,5,1,1,8,5,1,752.8752910639045,00h 57m 22s
Jun 16 2011,11,4,3,4,12,14,1,925.0827619774583,03h 23m 23s
Nov 22 2011,32,3,99,3,12,16,1,6.0219999999999996e+23,00:00:00
Mar 20 2011,30,5,2,3,8,6,1,6.0219999999999996e+23,00:00:00
Dec 06 2011,50,1,3,4,1,11,2,6.0219999999999996e+23,00h 00m 00s
Oct 13 2011,7,99,3,5,5,5,1,888.5811112448669,05h 08m 54s
Oct 16 2011,15,4,1,2,1,4,1,6.0219999999999996e+23,06h 00m 08s
Mar 29 2011,6,4,99,3,11,93,1,6.0219999999999996e+23,00:00:00
Oct 30 2011,15,4,2,5,2,7,1,6.0219999999999996e+23,00h 00m 00s
Dec 26 2011,1,4,2,4,8,93,1,661.9438363591886,00h 36m 25s
